cust_id,target
280,186.51
412,255.92
68,77.97
324,185.64
101,111.14
293,173.41
419,89.45
41,144.33
191,159.48
141,191.07
136,101.27
181,129.02
62,64.59
369,143.45
24,135.01
33,94.2
265,139.72
158,114.85
129,206.35
61,153.26
178,71.56
378,200.02
355,115.56
148,172.34
427,85.92
307,175.72
238,163.62
312,89.75
273,196.8
279,100.58
132,100.14
281,159.16
169,177.56
388,186.74
56,186.92
366,238.49
291,231.2
194,168.0
13,170.88
152,198.7
292,86.86
431,116.71
69,96.43
250,233.38
321,250.74
396,92.37
348,93.85
297,77.11
254,230.5
384,172.38
259,98.95
340,96.71
42,145.78
310,171.48
9,179.94
304,146.28
249,220.67
433,95.5
350,232.82
363,163.01
418,104.48
84,83.0
166,92.8
229,91.78
156,111.89
196,116.8
407,156.7
137,209.79
303,247.64
400,131.45
176,169.17
376,231.46
103,161.63
315,78.58
64,122.61
30,129.37
389,68.08
387,130.35
298,123.51
436,73.26
404,136.15
380,156.83
381,103.81
416,194.06
80,192.59
395,172.71
331,97.2
361,86.18
257,118.42
